sku_id,generic_name,brand,dosage_form,pack_size,pack_type,country,reg_date,schedule,validation,therapeutic_category,group,group_description,price_band,is_critical,shelf_life_months,dosage_group,supplier_lead_time_days
M012115,CETIRIZINE HYDROCHLORIDE TABLET 10MG,TRIZ,FILM COA TABLETS,5x5x10's,AL/PVC Blister,INDIA,2022-03-16,IIB,Full,Antihistamine,A,Spreading Disease (Infectious/Outbreak),Low,False,36,oral_solid,45
M009050,MONTELUKAST TABLETS 10MG,GLEMONT IR 10,TABLETS,10X10,ALU ALU BLISTER,INDIA,2021-05-13,IIB,Full,Antileukotriene,A,Spreading Disease (Infectious/Outbreak),Medium,False,24,oral_solid,45
M010075,BUDESONIDE NEBULISING SOLUTION 0.25MG/ML,PULMICORT,NEBULIZING SOLUTION,20X2ML(2ML AMP),PLASTIC AMPOULE,SWEDEN,2022-07-14,IIB,Full,Respiratory,A,Spreading Disease (Infectious/Outbreak),Medium,True,24,nebulizing,90
M010204,MEROPENEM FOR INJECTION USP 500MG,MEROFEN 0.5,POWDER FOR INJECTION,500MG/VIAL,TYPE 1 GLS VIAL,INDONESIA,2022-05-04,IIB,Full,Antibiotic,A,Spreading Disease (Infectious/Outbreak),High,True,36,injectable,60
M011075,MEROPENEM FOR INJECTION USP 1G,MEROFEN 1,POWDER FOR INJECTION,1'S,TYPE 1 GLASS VIAL,INDONESIA,2022-05-05,IIB,Full,Antibiotic,A,Spreading Disease (Infectious/Outbreak),High,True,36,injectable,60
M013477,CEFIXIME TABLETS USP 200MG,TRIFIX 200,FILM COATED TABLETS,3X10'S 5X10'S,ALU ALU STRIP,INDONESIA,2024-03-21,IIB,Full,Antibiotic,A,Spreading Disease (Infectious/Outbreak),Low,True,24,oral_solid,60
M013294,CEFIXIME DISPERSIBLE TABLETS 100MG,MAHACEF 100,TABLET,6X10'S,ALU ALU BLISTER PACK,INDIA,2024-02-02,IIB,Full,Antibiotic,A,Spreading Disease (Infectious/Outbreak),Low,True,24,oral_solid,45
M016350,CEFTRIAXONE FOR INJECTION USP 1G,BROADCED,POWDER FOR INJECTION,"10ML ,WFI+GLASS VIAL",USP TY 1 +WFI,INDONESIA,2025-04-21,IIB,Full,Antibiotic,A,Spreading Disease (Infectious/Outbreak),Medium,True,36,injectable,60
M010253,ATORVASTATIN CALCIUM TABLETS USP 10MG,AZTOR 10,TABLETS,5X10'S,ALU ALU BLISTER,INDIA,2022-02-14,IIB,Full,Cardiovascular,B,Non-Spreading (Chronic),Low,False,36,oral_solid,45
M010771,ATORVASTATIN CALCIUM TABLETS USP 20MG,AZTOR 20,TABLETS,5X10'S,ALU ALU BLISTER,INDIA,2022-02-14,IIB,Full,Cardiovascular,B,Non-Spreading (Chronic),Low,False,36,oral_solid,45
M009364,LOSARTAN POTASSIUM TABLETS USP  25MG,LOSANORM 25,TABLETS,"3X10'S, 50X10'S",ALU ALU STRIPS,INDIA,2022-01-10,IIB,Full,Cardiovascular,B,Non-Spreading (Chronic),Low,False,36,oral_solid,45
M013220,LOSARTAN POTASSIUM TABLETS USP 50MG,REPACE 50,TABLETS,10X10'S,ALUMINIUM BLISTER,INDIA,2024-03-04,IIB,Full,Cardiovascular,B,Non-Spreading (Chronic),Low,False,36,oral_solid,45
M014013,AMLODIPINE BESYLATE TABLETS USP 10MG,AMLOSUN 10,TABLET,10X10'S,ALU STRIP PACK,INDIA,2024-06-12,IIB,Two Years,Cardiovascular,B,Non-Spreading (Chronic),Low,False,36,oral_solid,45
M010082,METOPROLOL TARTRATE TABLETS BP 50MG,BETALOC 50MG,TABLETS,5X20'S,ALU PVDC BLISTER,CHINA,2022-01-27,IIB,Full,Cardiovascular,B,Non-Spreading (Chronic),Low,True,36,oral_solid,70
M011339,TELMISARTAN TABLETS USP 80MG,TASMI 80,TABLETS,2X7'S,ALU ALU BLISTER,PAKISTAN,2022-09-22,IIB,Full,Cardiovascular,B,Non-Spreading (Chronic),Low,False,48,oral_solid,55
M013962,CLOPIDOGREL TABLETS USP 75MG,CLOPILET,TABLET,3X10'S,ALU-POLY FOIL STRIP,INDIA,2024-06-20,IIB,Two Years,Cardiovascular,B,Non-Spreading (Chronic),Low,True,36,oral_solid,45
M010453,METFORMIN TABLETS BP 500MG,METCHECK 500,FILM COA TABLETS,10X10'S,ALU PVC BLISTER,INDIA,2022-03-05,IIB,Full,Diabetes,B,Non-Spreading (Chronic),Low,False,36,oral_solid,45
M009518,INSULIN GLARGINE 100 UNITS/ML (rDNA Origin) SOLUTION FOR INJECTION,ABASAGLAR SOLUTION FOR INJECTION,INJECTION,5 CARTRIDGE OF 3ML,USP TY I GLASS,ITALY,2022-02-13,IIB,Full,Diabetes,B,Non-Spreading (Chronic),High,True,30,injectable,90
M009898,GLIMEPIRIDE TABLETS USP 2MG,METRIX,TABLETS,2X15'S,ALU PVC/PVDC BLISTER,INDONESIA,2022-01-10,IIB,Full,Diabetes,B,Non-Spreading (Chronic),Low,False,24,oral_solid,60
M009651,GLICLAZIDE MODIFIED REALEASE TABLETS 30MG,DIAMICRON-MR,TABLETS,30'S,BLISTER PACK,FRANCE,2022-01-04,IIB,Full,Diabetes,B,Non-Spreading (Chronic),Low,False,36,oral_solid,90
M012665,SITAGLIPTIN TABLETS USP 100MG,TREVIA,TABLETS,"14'S,5X7'S&7X10'S",ALU ALU BLISTER PACK,PAKISTAN,2022-03-01,IIB,Full,Diabetes,B,Non-Spreading (Chronic),High,False,24,oral_solid,55
M012706,EMPAGLIFLOZIN TABLETS 10MG,JARDIANCE,TABLETS,9X10'S,ALU/PVC BLISTER,GERMANY,2023-11-09,IIB,Full,Diabetes,B,Non-Spreading (Chronic),High,False,36,oral_solid,90
M009630,DAPAGLIFLOZIN TABLETS 5MG,FORXIGA 5,TABLETS,28'S,ALU ALU BLISTER,UNITED STATES,2022-05-21,IIB,Full,Diabetes,B,Non-Spreading (Chronic),High,False,36,oral_solid,85
M016641,APIXABAN TABLETS 5 MG,APIXAGET,TABLETS,3X10'S,ALU /ALU BLISTER,PAKISTAN,2025-05-31,IIB,Two Years,Cardiovascular,B,Non-Spreading (Chronic),High,True,48,oral_solid,55
M009542,DICLOFENAC POTASSIUM TABLETS 50MG USP,DIAFLAM-50,TABLETS,5X10' S,BLISTER,INDONESIA,2022-03-14,IIB,Full,Analgesic/NSAID,C,Mixed-Use (Both Contexts),Low,False,36,oral_solid,60
M010862,ETORICOXIB TABLETS 120MG,XIBRA 120,TABLETS,2X10'S,ALU ALU BLISTER,BANGLADESH,2022-10-10,IIB,Full,Analgesic/NSAID,C,Mixed-Use (Both Contexts),Medium,False,36,oral_solid,50
M012860,ACECLOFENAC TABLETS 100MG,ACEDOL,TABLET,10X10'S,ALU ALU BLISTER,INDIA,2024-01-01,IIB,Full,Analgesic/NSAID,C,Mixed-Use (Both Contexts),Low,False,36,oral_solid,45
M010184,OMEPRAZOLE DELAYED RELEASE CAPSULES USP 20MG,OSKAR 20,HARD GELATINE CAPSULES,10X10'S,ALU ALU STRIP,INDIA,2022-05-11,IIB,Full,Gastrointestinal,C,Mixed-Use (Both Contexts),Low,False,24,capsule,45
M009072,PANTOPRAZOLE SODIUM DELAYED RELEASE TABLETS USP 20MG,PROMPIN 20,TABLETS,5X10'S,ALU ALU BLISTER,BANGLADESH,2021-06-23,IIB,Full,Gastrointestinal,C,Mixed-Use (Both Contexts),Low,False,36,oral_solid,50
M010132,ESOMEPRAZOLE MAGNESIUM DELAYED RELEASE CAPSULES USP 40MG,EPRAZOLE 40,CAPSULES,"2X7'S ,14'S,7'S,4X7'",ALU ALU BLISTER,PAKISTAN,2022-02-26,IIB,Full,Gastrointestinal,C,Mixed-Use (Both Contexts),Low,False,30,capsule,55
M014771,ONDANSETRON ORAL SOLUTION USP 4MG/5ML,VOMIKIND,ORAL SOLUTION,50ML,AMB GLASS BOTTLE,INDIA,2022-01-27,IIB,Full,Antiemetic,C,Mixed-Use (Both Contexts),Low,False,24,oral_liquid,45
M016311,ONDANSETRON  INJECTION USP 2MG/ML,VOMIKIND,INJECTION,"4X2ML,4X4ML",GLASS AMPOULE,INDIA,2024-12-20,IIB,Full,Antiemetic,C,Mixed-Use (Both Contexts),Medium,True,24,injectable,45
M009371,METHYLPREDNISOLONE ACETATE INJECTION 40MG/1ML,DEPO MEDROL,INJECTION,1ML & 2ML,GLASS VIAL,BELGIUM,2022-01-06,IIB,Full,Corticosteroid,C,Mixed-Use (Both Contexts),Medium,True,24,injectable,90
M010882,METHYLPREDNISOLONE POWDER FOR INJECTION 1000MG,SOLU MEDROL,POWDER FOR INJECTION,VIAL POWDER+15.6ML,VIAL POWDER+15.6ML,BELGIUM,2022-06-10,IIB,Full,Corticosteroid,C,Mixed-Use (Both Contexts),High,True,24,injectable,90
M010532,ITRACONAZOLE CAPSULES 100MG,UNITRAC 100MG,CAPSULES,3X10'S,ALU ALU STRIP,INDONESIA,2022-05-18,IIB,Full,Antifungal,C,Mixed-Use (Both Contexts),Medium,False,48,capsule,60
M010208,FLUCONAZOLE TABLETS USP 150MG,NUFORCE 150,TABLETS,1X1'S,ALU ALU BLISTER,INDIA,2022-05-11,IIB,Full,Antifungal,C,Mixed-Use (Both Contexts),Low,False,60,oral_solid,45
M010079,PREGABALIN CAPSULES 75MG,NEUROVAN 75,HARD GELATINE CAPSULES,3X10'S,ALU ALU BLISTER,BANGLADESH,2022-03-13,IIB,Full,Neuropathic/Pain,C,Mixed-Use (Both Contexts),Medium,False,36,capsule,50
M013459,HYDROXYCHLOROQUINE SULFATE TABLETS USP 200MG,ALQUIN 200,TABLET,10X10'S,BLISTER PACK,INDIA,2024-05-13,IIB,Full,Immunomodulator,C,Mixed-Use (Both Contexts),Low,True,60,oral_solid,45
