date,district,week_of_year,dengue_index,respiratory_index,rainfall_index
2024-02-26,Anuradhapura,9,31.2,30.6,29.8
2024-03-04,Anuradhapura,10,31.0,35.6,20.1
2024-03-11,Anuradhapura,11,13.7,28.5,33.7
2024-03-18,Anuradhapura,12,10.1,33.7,29.5
2024-03-25,Anuradhapura,13,17.0,28.6,40.2
2024-04-01,Anuradhapura,14,19.0,32.2,29.3
2024-04-08,Anuradhapura,15,18.0,18.7,6.3
2024-04-15,Anuradhapura,16,23.2,19.2,21.3
2024-04-22,Anuradhapura,17,16.6,21.5,10.3
2024-04-29,Anuradhapura,18,13.6,18.2,12.8
2024-05-06,Anuradhapura,19,22.8,21.2,33.1
2024-05-13,Anuradhapura,20,12.3,10.6,24.4
2024-05-20,Anuradhapura,21,24.4,5.4,11.0
2024-05-27,Anuradhapura,22,17.3,8.1,7.9
2024-06-03,Anuradhapura,23,20.4,1.0,18.3
2024-06-10,Anuradhapura,24,14.8,0.0,5.8
2024-06-17,Anuradhapura,25,26.7,1.7,11.3
2024-06-24,Anuradhapura,26,32.7,11.7,21.1
2024-07-01,Anuradhapura,27,46.1,0.0,29.6
2024-07-08,Anuradhapura,28,46.2,0.0,24.1
2024-07-15,Anuradhapura,29,45.0,6.7,0.0
2024-07-22,Anuradhapura,30,47.0,1.8,21.0
2024-07-29,Anuradhapura,31,39.1,0.0,18.7
2024-08-05,Anuradhapura,32,34.2,19.1,22.1
2024-08-12,Anuradhapura,33,28.9,13.3,34.2
2024-08-19,Anuradhapura,34,22.4,16.3,0.0
2024-08-26,Anuradhapura,35,17.9,13.1,12.1
2024-09-02,Anuradhapura,36,0.0,16.9,23.9
2024-09-09,Anuradhapura,37,0.0,24.1,2.2
2024-09-16,Anuradhapura,38,1.8,20.9,32.8
2024-09-23,Anuradhapura,39,0.0,26.0,21.7
2024-09-30,Anuradhapura,40,0.0,25.9,58.5
2024-10-07,Anuradhapura,41,0.0,24.7,44.3
2024-10-14,Anuradhapura,42,0.0,19.8,58.1
2024-10-21,Anuradhapura,43,1.4,34.2,60.7
2024-10-28,Anuradhapura,44,0.0,26.3,52.3
2024-11-04,Anuradhapura,45,0.0,33.6,52.3
2024-11-11,Anuradhapura,46,24.3,40.8,52.7
2024-11-18,Anuradhapura,47,13.2,44.8,41.4
2024-11-25,Anuradhapura,48,14.4,41.8,48.5
2024-12-02,Anuradhapura,49,21.0,41.4,68.5
2024-12-09,Anuradhapura,50,27.3,44.0,73.8
2024-12-16,Anuradhapura,51,32.6,38.8,80.0
2024-12-23,Anuradhapura,52,35.5,54.1,59.4
2024-12-30,Anuradhapura,1,26.2,40.3,68.7
2025-01-06,Anuradhapura,2,33.8,41.1,84.8
2025-01-13,Anuradhapura,3,37.0,42.7,62.6
2025-01-20,Anuradhapura,4,42.2,44.8,61.8
2025-01-27,Anuradhapura,5,28.3,49.2,72.0
2025-02-03,Anuradhapura,6,24.4,34.1,78.4
2025-02-10,Anuradhapura,7,26.9,40.5,70.1
2025-02-17,Anuradhapura,8,22.1,37.3,83.3
2025-02-24,Anuradhapura,9,25.8,45.4,30.6
2025-03-03,Anuradhapura,10,18.6,33.1,30.4
2025-03-10,Anuradhapura,11,7.1,30.6,27.5
2025-03-17,Anuradhapura,12,18.6,28.3,45.3
2025-03-24,Anuradhapura,13,14.7,29.2,19.9
2025-03-31,Anuradhapura,14,22.8,24.7,2.0
2025-04-07,Anuradhapura,15,18.2,24.6,38.0
2025-04-14,Anuradhapura,16,10.9,24.2,17.4
2025-04-21,Anuradhapura,17,21.2,27.8,23.1
2025-04-28,Anuradhapura,18,12.7,12.2,31.1
2025-05-05,Anuradhapura,19,10.4,10.3,2.0
2025-05-12,Anuradhapura,20,9.9,8.2,5.5
2025-05-19,Anuradhapura,21,8.2,12.7,2.0
2025-05-26,Anuradhapura,22,10.0,4.1,10.1
2025-06-02,Anuradhapura,23,21.2,8.2,22.4
2025-06-09,Anuradhapura,24,24.0,0.0,23.2
2025-06-16,Anuradhapura,25,37.9,3.5,20.8
2025-06-23,Anuradhapura,26,31.0,4.3,3.9
2025-06-30,Anuradhapura,27,43.9,0.5,0.0
2025-07-07,Anuradhapura,28,40.1,0.0,18.5
2025-07-14,Anuradhapura,29,45.8,10.0,13.3
2025-07-21,Anuradhapura,30,40.1,5.1,22.6
2025-07-28,Anuradhapura,31,22.2,0.0,25.0
2025-08-04,Anuradhapura,32,32.9,1.2,19.4
2025-08-11,Anuradhapura,33,33.7,17.4,25.6
2025-08-18,Anuradhapura,34,13.9,6.2,20.3
2025-08-25,Anuradhapura,35,17.1,20.4,23.3
2025-09-01,Anuradhapura,36,0.0,18.0,11.0
2025-09-08,Anuradhapura,37,12.0,10.4,16.2
2025-09-15,Anuradhapura,38,0.0,18.9,20.0
2025-09-22,Anuradhapura,39,0.0,27.1,26.2
2025-09-29,Anuradhapura,40,0.0,14.2,46.1
2025-10-06,Anuradhapura,41,0.0,21.8,55.2
2025-10-13,Anuradhapura,42,0.0,25.7,47.3
2025-10-20,Anuradhapura,43,0.0,34.3,48.8
2025-10-27,Anuradhapura,44,2.1,35.1,58.3
2025-11-03,Anuradhapura,45,0.0,42.4,30.1
2025-11-10,Anuradhapura,46,5.3,42.2,37.0
2025-11-17,Anuradhapura,47,1.3,45.7,35.2
2025-11-24,Anuradhapura,48,14.3,40.2,26.7
2025-12-01,Anuradhapura,49,22.8,43.9,63.2
2025-12-08,Anuradhapura,50,12.3,49.0,77.5
2025-12-15,Anuradhapura,51,24.3,44.4,67.2
2025-12-22,Anuradhapura,52,32.9,40.9,72.0
2024-01-01,Badulla,1,17.6,41.2,54.7
2024-01-08,Badulla,2,27.1,48.4,44.7
2024-01-15,Badulla,3,27.7,46.5,45.9
2024-01-22,Badulla,4,23.1,44.6,63.6
2024-01-29,Badulla,5,26.4,50.2,39.6
2024-02-05,Badulla,6,17.4,35.5,25.9
2024-02-12,Badulla,7,25.9,44.7,66.1
2024-02-19,Badulla,8,9.6,26.0,75.5
2024-02-26,Badulla,9,28.4,43.5,35.9
2024-03-04,Badulla,10,41.4,41.1,20.6
2024-03-11,Badulla,11,16.5,28.9,36.9
2024-03-18,Badulla,12,14.2,28.9,37.1
2024-03-25,Badulla,13,13.0,37.5,38.1
2024-04-01,Badulla,14,29.8,31.3,28.9
2024-04-08,Badulla,15,13.9,24.4,45.8
2024-04-15,Badulla,16,20.5,19.4,45.2
2024-04-22,Badulla,17,29.2,20.5,25.1
2024-04-29,Badulla,18,26.0,13.0,57.0
2024-05-06,Badulla,19,17.6,0.0,70.5
2024-05-13,Badulla,20,25.6,2.9,51.7
2024-05-20,Badulla,21,21.5,12.7,46.6
2024-05-27,Badulla,22,33.9,8.9,48.6
2024-06-03,Badulla,23,30.7,6.2,56.2
2024-06-10,Badulla,24,36.6,2.7,32.7
2024-06-17,Badulla,25,38.2,0.0,51.6
2024-06-24,Badulla,26,42.9,0.0,46.1
2024-07-01,Badulla,27,51.2,0.0,68.5
2024-07-08,Badulla,28,62.4,2.4,48.3
2024-07-15,Badulla,29,58.4,0.0,66.7
2024-07-22,Badulla,30,50.8,0.0,39.0
2024-07-29,Badulla,31,46.2,0.0,55.9
2024-08-05,Badulla,32,35.1,0.0,53.2
2024-08-12,Badulla,33,41.8,7.0,41.3
2024-08-19,Badulla,34,20.4,5.0,51.8
2024-08-26,Badulla,35,26.4,11.8,62.1
2024-09-02,Badulla,36,22.5,11.6,46.8
2024-09-09,Badulla,37,7.6,10.8,33.1
2024-09-16,Badulla,38,4.2,18.4,49.8
2024-09-23,Badulla,39,1.0,26.3,41.0
2024-09-30,Badulla,40,0.0,16.8,46.6
2024-10-07,Badulla,41,0.0,26.7,49.2
2024-10-14,Badulla,42,0.0,28.2,32.9
2024-10-21,Badulla,43,0.0,31.3,33.8
2024-10-28,Badulla,44,0.0,35.0,54.8
2024-11-04,Badulla,45,0.0,38.7,44.8
2024-11-11,Badulla,46,12.1,37.2,24.4
2024-11-18,Badulla,47,11.4,47.2,57.8
2024-11-25,Badulla,48,8.3,32.1,52.7
2024-12-02,Badulla,49,14.2,45.8,42.9
2024-12-09,Badulla,50,24.0,47.3,36.8
2024-12-16,Badulla,51,28.2,32.1,58.4
2024-12-23,Badulla,52,21.4,54.6,53.5
2024-12-30,Badulla,1,18.8,42.0,73.8
2025-01-06,Badulla,2,19.5,42.2,54.2
2025-01-13,Badulla,3,28.2,53.3,53.9
2025-01-20,Badulla,4,35.3,44.5,48.3
2025-01-27,Badulla,5,35.6,43.6,58.2
2025-02-03,Badulla,6,33.0,41.7,56.3
2025-02-10,Badulla,7,26.2,41.2,62.5
2025-02-17,Badulla,8,44.0,44.1,44.8
2025-02-24,Badulla,9,22.5,43.7,35.6
2025-03-03,Badulla,10,19.3,33.9,35.2
2025-03-10,Badulla,11,24.1,31.8,47.9
2025-03-17,Badulla,12,20.2,27.8,55.0
2025-03-24,Badulla,13,24.4,29.8,35.4
2025-03-31,Badulla,14,12.9,28.0,35.8
2025-04-07,Badulla,15,12.7,13.3,43.1
2025-04-14,Badulla,16,18.4,18.8,37.5
2025-04-21,Badulla,17,16.8,17.9,49.5
2025-04-28,Badulla,18,11.2,12.2,27.5
2025-05-05,Badulla,19,19.3,9.3,41.7
2025-05-12,Badulla,20,17.9,2.1,42.2
2025-05-19,Badulla,21,24.9,7.6,26.8
2025-05-26,Badulla,22,9.3,0.0,40.4
2025-06-02,Badulla,23,23.1,0.6,40.8
2025-06-09,Badulla,24,33.4,0.0,48.0
2025-06-16,Badulla,25,41.5,1.3,61.1
2025-06-23,Badulla,26,40.4,0.0,47.5
2025-06-30,Badulla,27,47.8,0.5,39.7
2025-07-07,Badulla,28,59.5,0.0,49.4
2025-07-14,Badulla,29,34.7,0.0,60.5
2025-07-21,Badulla,30,45.9,0.0,40.2
2025-07-28,Badulla,31,48.4,1.9,40.9
2025-08-04,Badulla,32,38.1,6.3,55.6
2025-08-11,Badulla,33,30.2,0.0,47.8
2025-08-18,Badulla,34,34.7,0.0,56.5
2025-08-25,Badulla,35,24.7,8.8,49.9
2025-09-01,Badulla,36,16.9,17.8,57.0
2025-09-08,Badulla,37,5.3,25.5,39.6
2025-09-15,Badulla,38,3.9,10.1,49.9
2025-09-22,Badulla,39,0.0,14.4,47.9
2025-09-29,Badulla,40,0.0,26.3,37.8
2025-10-06,Badulla,41,0.0,24.7,34.4
2025-10-13,Badulla,42,0.0,33.2,56.9
2025-10-20,Badulla,43,0.0,34.5,46.5
2025-10-27,Badulla,44,8.6,26.2,39.8
2025-11-03,Badulla,45,0.1,32.5,49.0
2025-11-10,Badulla,46,6.7,34.5,61.3
2025-11-17,Badulla,47,14.5,54.0,27.2
2025-11-24,Badulla,48,25.4,47.4,35.0
2025-12-01,Badulla,49,14.8,46.4,40.8
2025-12-08,Badulla,50,18.5,45.9,64.6
2025-12-15,Badulla,51,27.2,54.6,52.8
2025-12-22,Badulla,52,29.2,49.1,57.7
2024-01-01,Batticaloa,1,19.8,51.1,58.5
2024-01-08,Batticaloa,2,29.7,45.0,69.1
2024-01-15,Batticaloa,3,21.0,38.1,79.4
2024-01-22,Batticaloa,4,25.5,44.3,78.7
2024-01-29,Batticaloa,5,26.1,43.5,72.1
2024-02-05,Batticaloa,6,24.2,37.7,78.9
2024-02-12,Batticaloa,7,30.3,49.7,74.9
2024-02-19,Batticaloa,8,23.4,41.6,82.0
2024-02-26,Batticaloa,9,31.4,42.5,24.9
2024-03-04,Batticaloa,10,33.3,41.1,18.4
2024-03-11,Batticaloa,11,14.5,42.3,25.4
2024-03-18,Batticaloa,12,10.8,41.6,0.0
2024-03-25,Batticaloa,13,11.8,28.8,25.8
2024-04-01,Batticaloa,14,1.6,32.3,0.0
2024-04-08,Batticaloa,15,24.4,25.9,4.8
2024-04-15,Batticaloa,16,6.8,14.5,26.5
2024-04-22,Batticaloa,17,8.1,9.2,26.8
2024-04-29,Batticaloa,18,10.5,18.6,6.4
2024-05-06,Batticaloa,19,24.0,28.2,10.9
2024-05-13,Batticaloa,20,6.4,15.8,31.7
2024-05-20,Batticaloa,21,12.7,8.6,13.2
2024-05-27,Batticaloa,22,20.1,3.7,40.4
2024-06-03,Batticaloa,23,19.8,3.1,18.0
2024-06-10,Batticaloa,24,25.7,0.0,22.1
2024-06-17,Batticaloa,25,37.2,0.0,34.2
2024-06-24,Batticaloa,26,35.7,2.3,19.3
2024-07-01,Batticaloa,27,51.1,4.7,8.0
2024-07-08,Batticaloa,28,39.6,8.8,16.9
2024-07-15,Batticaloa,29,49.7,5.6,17.6
2024-07-22,Batticaloa,30,47.0,12.2,4.4
2024-07-29,Batticaloa,31,44.8,8.6,15.4
2024-08-05,Batticaloa,32,32.8,10.4,10.6
2024-08-12,Batticaloa,33,20.0,10.7,27.2
2024-08-19,Batticaloa,34,10.2,6.7,18.3
2024-08-26,Batticaloa,35,24.0,17.7,15.2
2024-09-02,Batticaloa,36,15.2,14.5,16.9
2024-09-09,Batticaloa,37,0.0,16.9,20.2
2024-09-16,Batticaloa,38,0.0,20.8,24.2
2024-09-23,Batticaloa,39,0.0,24.0,8.0
2024-09-30,Batticaloa,40,0.0,19.1,39.6
2024-10-07,Batticaloa,41,0.0,23.9,61.0
2024-10-14,Batticaloa,42,0.0,27.9,45.9
2024-10-21,Batticaloa,43,0.0,32.1,35.8
2024-10-28,Batticaloa,44,7.7,33.0,54.4
2024-11-04,Batticaloa,45,0.0,25.5,54.6
2024-11-11,Batticaloa,46,5.0,40.1,34.7
2024-11-18,Batticaloa,47,13.1,47.8,52.3
2024-11-25,Batticaloa,48,17.4,48.4,57.4
2024-12-02,Batticaloa,49,24.1,41.3,73.7
2024-12-09,Batticaloa,50,24.7,41.9,76.3
2024-12-16,Batticaloa,51,40.4,34.3,56.0
2024-12-23,Batticaloa,52,18.9,41.1,73.3
2024-12-30,Batticaloa,1,24.9,48.4,67.0
2025-01-06,Batticaloa,2,32.8,43.1,65.2
2025-01-13,Batticaloa,3,34.2,47.6,78.7
2025-01-20,Batticaloa,4,28.7,45.5,84.8
2025-01-27,Batticaloa,5,33.2,36.1,87.9
2025-02-03,Batticaloa,6,37.6,38.7,83.1
2025-02-10,Batticaloa,7,34.4,45.7,68.9
2025-02-17,Batticaloa,8,18.2,28.5,73.5
2025-02-24,Batticaloa,9,21.5,37.9,29.7
2025-03-03,Batticaloa,10,28.5,30.6,23.2
2025-03-10,Batticaloa,11,11.0,31.1,23.3
2025-03-17,Batticaloa,12,29.7,40.5,30.2
2025-03-24,Batticaloa,13,12.5,28.0,21.4
2025-03-31,Batticaloa,14,10.2,18.3,14.7
2025-04-07,Batticaloa,15,13.7,19.3,17.9
2025-04-14,Batticaloa,16,11.9,11.8,28.3
2025-04-21,Batticaloa,17,8.8,18.6,22.0
2025-04-28,Batticaloa,18,18.7,17.3,21.4
2025-05-05,Batticaloa,19,6.7,16.4,24.7
2025-05-12,Batticaloa,20,9.6,14.4,14.3
2025-05-19,Batticaloa,21,15.3,0.6,25.6
2025-05-26,Batticaloa,22,10.4,8.0,21.8
2025-06-02,Batticaloa,23,26.5,6.3,5.7
2025-06-09,Batticaloa,24,37.7,6.8,32.4
2025-06-16,Batticaloa,25,28.1,7.5,13.0
2025-06-23,Batticaloa,26,54.0,14.8,1.4
2025-06-30,Batticaloa,27,32.6,0.0,7.5
2025-07-07,Batticaloa,28,47.1,0.0,7.8
2025-07-14,Batticaloa,29,32.1,0.5,18.5
2025-07-21,Batticaloa,30,40.9,3.8,15.3
2025-07-28,Batticaloa,31,34.3,2.3,14.6
2025-08-04,Batticaloa,32,28.2,1.4,24.2
2025-08-11,Batticaloa,33,40.0,9.6,21.4
2025-08-18,Batticaloa,34,27.8,7.8,21.2
2025-08-25,Batticaloa,35,13.3,8.9,22.1
2025-09-01,Batticaloa,36,0.0,7.9,24.2
2025-09-08,Batticaloa,37,0.0,9.9,0.0
2025-09-15,Batticaloa,38,0.0,28.5,14.4
2025-09-22,Batticaloa,39,0.0,33.4,0.0
2025-09-29,Batticaloa,40,0.0,26.4,50.4
2025-10-06,Batticaloa,41,0.0,28.1,50.0
2025-10-13,Batticaloa,42,0.0,24.0,60.5
2025-10-20,Batticaloa,43,0.0,32.4,61.9
2025-10-27,Batticaloa,44,0.0,28.2,52.0
2025-11-03,Batticaloa,45,0.0,37.9,45.0
2025-11-10,Batticaloa,46,11.6,34.4,54.9
2025-11-17,Batticaloa,47,14.5,44.9,44.7
2025-11-24,Batticaloa,48,28.2,50.8,50.0
2025-12-01,Batticaloa,49,29.1,35.1,79.9
2025-12-08,Batticaloa,50,33.1,41.1,64.4
2025-12-15,Batticaloa,51,38.2,42.9,78.1
2025-12-22,Batticaloa,52,24.8,34.3,76.8
2024-01-01,Colombo,1,21.7,49.5,48.3
2024-01-08,Colombo,2,41.0,52.0,34.4
2024-01-15,Colombo,3,27.2,42.8,59.7
2024-01-22,Colombo,4,22.9,42.3,65.2
2024-01-29,Colombo,5,30.6,50.4,42.0
2024-02-05,Colombo,6,24.2,46.9,53.0
2024-02-12,Colombo,7,25.3,44.2,42.7
2024-02-19,Colombo,8,24.1,46.7,43.7
2024-02-26,Colombo,9,35.3,40.3,57.7
2024-03-04,Colombo,10,19.0,38.3,49.6
2024-03-11,Colombo,11,34.7,20.7,67.4
2024-03-18,Colombo,12,29.7,31.0,45.2
2024-03-25,Colombo,13,38.6,24.9,60.0
2024-04-01,Colombo,14,30.3,29.7,51.0
2024-04-08,Colombo,15,40.4,4.0,58.0
2024-04-15,Colombo,16,28.4,16.4,45.5
2024-04-22,Colombo,17,21.9,14.2,49.5
2024-04-29,Colombo,18,36.1,1.1,78.8
2024-05-06,Colombo,19,31.9,0.5,71.6
2024-05-13,Colombo,20,34.6,7.8,86.6
2024-05-20,Colombo,21,33.2,0.6,86.5
2024-05-27,Colombo,22,29.8,5.9,85.9
2024-06-03,Colombo,23,51.7,0.0,95.4
2024-06-10,Colombo,24,58.2,0.0,94.5
2024-06-17,Colombo,25,70.6,0.0,76.3
2024-06-24,Colombo,26,66.8,0.0,83.7
2024-07-01,Colombo,27,62.5,0.0,73.8
2024-07-08,Colombo,28,71.4,0.0,80.2
2024-07-15,Colombo,29,66.9,0.0,74.0
2024-07-22,Colombo,30,64.6,3.3,96.2
2024-07-29,Colombo,31,52.5,1.6,83.6
2024-08-05,Colombo,32,72.0,0.0,77.8
2024-08-12,Colombo,33,67.4,2.5,91.9
2024-08-19,Colombo,34,51.3,4.8,58.3
2024-08-26,Colombo,35,41.3,5.8,59.9
2024-09-02,Colombo,36,27.7,12.2,88.0
2024-09-09,Colombo,37,20.1,4.5,80.6
2024-09-16,Colombo,38,26.5,16.2,82.5
2024-09-23,Colombo,39,18.4,20.7,66.7
2024-09-30,Colombo,40,10.1,14.9,69.8
2024-10-07,Colombo,41,0.0,11.3,90.0
2024-10-14,Colombo,42,7.6,23.8,78.2
2024-10-21,Colombo,43,11.3,13.3,71.7
2024-10-28,Colombo,44,6.3,37.4,65.6
2024-11-04,Colombo,45,12.6,36.1,66.1
2024-11-11,Colombo,46,12.4,46.5,48.7
2024-11-18,Colombo,47,26.8,39.3,72.6
2024-11-25,Colombo,48,43.6,46.4,78.5
2024-12-02,Colombo,49,34.9,44.0,34.2
2024-12-09,Colombo,50,36.6,49.4,43.4
2024-12-16,Colombo,51,24.6,46.5,38.4
2024-12-23,Colombo,52,36.8,48.2,40.3
2024-12-30,Colombo,1,40.3,47.9,50.5
2025-01-06,Colombo,2,37.8,52.2,29.2
2025-01-13,Colombo,3,35.9,42.2,56.1
2025-01-20,Colombo,4,18.6,47.0,57.5
2025-01-27,Colombo,5,37.8,45.2,47.5
2025-02-03,Colombo,6,24.5,40.0,25.2
2025-02-10,Colombo,7,20.7,33.9,40.0
2025-02-17,Colombo,8,23.2,42.9,62.3
2025-02-24,Colombo,9,26.9,29.6,22.2
2025-03-03,Colombo,10,32.5,33.8,46.5
2025-03-10,Colombo,11,34.2,25.8,38.2
2025-03-17,Colombo,12,26.6,35.8,58.0
2025-03-24,Colombo,13,29.2,29.3,43.2
2025-03-31,Colombo,14,33.1,23.5,54.0
2025-04-07,Colombo,15,32.6,14.6,55.7
2025-04-14,Colombo,16,36.5,6.9,68.4
2025-04-21,Colombo,17,33.7,14.8,48.0
2025-04-28,Colombo,18,31.8,5.7,83.8
2025-05-05,Colombo,19,25.7,0.7,65.1
2025-05-12,Colombo,20,38.0,0.0,91.9
2025-05-19,Colombo,21,36.5,0.0,72.4
2025-05-26,Colombo,22,46.8,0.0,74.4
2025-06-02,Colombo,23,40.5,0.0,79.8
2025-06-09,Colombo,24,59.2,0.0,64.4
2025-06-16,Colombo,25,57.6,0.0,82.3
2025-06-23,Colombo,26,46.4,0.0,89.7
2025-06-30,Colombo,27,79.7,0.0,82.9
2025-07-07,Colombo,28,72.1,0.0,64.1
2025-07-14,Colombo,29,75.0,0.0,78.8
2025-07-21,Colombo,30,52.2,0.0,87.4
2025-07-28,Colombo,31,59.0,5.2,61.2
2025-08-04,Colombo,32,59.2,0.0,69.3
2025-08-11,Colombo,33,39.7,0.0,88.8
2025-08-18,Colombo,34,41.6,0.1,82.7
2025-08-25,Colombo,35,39.1,8.6,84.1
2025-09-01,Colombo,36,39.8,2.7,98.6
2025-09-08,Colombo,37,13.5,11.5,84.7
2025-09-15,Colombo,38,28.0,12.6,86.6
2025-09-22,Colombo,39,21.6,6.2,100.0
2025-09-29,Colombo,40,25.0,15.0,67.9
2025-10-06,Colombo,41,19.7,15.3,62.0
2025-10-13,Colombo,42,0.0,32.4,74.3
2025-10-20,Colombo,43,4.0,31.9,74.4
2025-10-27,Colombo,44,14.0,31.4,64.7
2025-11-03,Colombo,45,25.6,34.1,59.7
2025-11-10,Colombo,46,9.8,28.6,93.1
2025-11-17,Colombo,47,29.0,39.7,73.3
2025-11-24,Colombo,48,33.5,37.5,62.7
