retailer_id,retailer_type,district,tier,years_active
R0077,standalone,Gampaha,B,1.0
R0078,standalone,Nuwara Eliya,C,0.5
R0079,standalone,Polonnaruwa,C,1.7
R0080,standalone,Anuradhapura,B,10.9
R0081,standalone,Colombo,B,1.9
R0082,standalone,Colombo,B,1.3
R0083,chain_outlet,Gampaha,B,7.8
R0084,hospital_attached,Gampaha,A,2.6
R0085,hospital_attached,Matara,A,7.2
R0086,hospital_attached,Kandy,A,5.8
R0087,standalone,Colombo,B,5.8
R0088,standalone,Kalutara,B,1.8
R0089,hospital_attached,Nuwara Eliya,B,4.3
R0090,standalone,Colombo,B,14.5
R0091,hospital_attached,Puttalam,B,6.8
R0092,standalone,Colombo,C,6.1
R0093,standalone,Badulla,C,3.0
R0094,standalone,Colombo,B,5.8
R0095,standalone,Puttalam,C,3.7
R0096,standalone,Badulla,B,0.9
R0097,standalone,Kegalle,B,1.8
R0098,hospital_attached,Kurunegala,B,0.9
R0099,hospital_attached,Trincomalee,A,5.5
R0100,chain_outlet,Kilinochchi,B,0.5
R0101,chain_outlet,Trincomalee,B,0.5
R0102,standalone,Colombo,C,1.1
R0103,standalone,Galle,C,2.4
R0104,chain_outlet,Nuwara Eliya,B,0.9
R0105,standalone,Anuradhapura,B,6.6
R0106,standalone,Kandy,C,3.9
R0107,standalone,Kalutara,B,20.0
R0108,standalone,Kilinochchi,C,17.1
R0109,hospital_attached,Gampaha,A,3.6
R0110,chain_outlet,Colombo,A,3.2
R0111,standalone,Matale,A,0.6
R0112,standalone,Kandy,C,8.2
R0113,standalone,Gampaha,A,17.6
R0114,standalone,Kalutara,B,3.3
R0115,hospital_attached,Kalutara,A,7.9
R0116,chain_outlet,Kalutara,A,0.5
R0117,standalone,Kalutara,B,20.0
R0118,standalone,Mullaitivu,C,0.5
R0119,standalone,Gampaha,A,7.6
R0120,standalone,Monaragala,C,0.5
R0121,standalone,Badulla,C,1.7
R0122,standalone,Matale,B,2.0
R0123,hospital_attached,Kalutara,A,5.3
R0124,standalone,Galle,C,0.5
R0125,hospital_attached,Puttalam,A,2.2
R0126,standalone,Mannar,B,1.2
R0127,standalone,Kurunegala,C,0.6
R0128,hospital_attached,Galle,C,8.4
R0129,hospital_attached,Kilinochchi,B,2.4
R0130,standalone,Gampaha,B,0.5
R0131,hospital_attached,Batticaloa,B,2.9
R0132,chain_outlet,Gampaha,B,1.0
R0133,standalone,Mullaitivu,B,0.5
R0134,standalone,Anuradhapura,C,0.6
R0135,standalone,Colombo,A,6.0
R0136,hospital_attached,Jaffna,A,0.5
R0137,chain_outlet,Colombo,B,2.4
R0138,standalone,Batticaloa,B,3.5
R0139,standalone,Colombo,B,1.5
R0140,hospital_attached,Monaragala,B,4.0
R0141,standalone,Colombo,C,9.1
R0142,standalone,Ratnapura,B,3.1
R0143,chain_outlet,Kurunegala,C,2.9
R0144,standalone,Hambantota,C,0.8
R0145,standalone,Trincomalee,B,3.2
R0146,standalone,Trincomalee,B,11.6
R0147,standalone,Monaragala,B,2.9
R0148,standalone,Gampaha,A,3.6
R0149,standalone,Hambantota,C,14.4
R0150,hospital_attached,Colombo,A,2.0
R0151,chain_outlet,Jaffna,B,0.5
R0152,chain_outlet,Colombo,A,10.5
R0153,hospital_attached,Matara,A,3.5
R0154,standalone,Matara,C,0.7
R0155,hospital_attached,Kandy,A,0.5
R0156,standalone,Nuwara Eliya,B,3.3
R0157,standalone,Ampara,B,7.8
R0158,standalone,Trincomalee,B,0.5
R0159,standalone,Matale,B,0.5
R0160,standalone,Hambantota,B,0.6
R0161,hospital_attached,Monaragala,A,0.8
R0162,chain_outlet,Colombo,A,5.0
R0163,standalone,Colombo,C,0.5
R0164,hospital_attached,Colombo,B,9.5
R0165,standalone,Mannar,C,12.6
R0166,standalone,Kandy,C,20.0
R0167,chain_outlet,Ampara,B,0.5
R0168,chain_outlet,Mannar,A,1.1
R0169,standalone,Kalutara,B,3.7
R0170,chain_outlet,Polonnaruwa,B,0.5
R0171,standalone,Ampara,B,20.0
R0172,standalone,Gampaha,C,16.8
R0173,standalone,Kalutara,B,3.4
R0174,chain_outlet,Gampaha,B,10.0
R0175,hospital_attached,Colombo,C,10.4
R0176,hospital_attached,Colombo,B,3.8
R0177,standalone,Monaragala,C,2.4
R0178,chain_outlet,Kandy,B,10.0
R0179,chain_outlet,Kalutara,C,3.0
R0180,standalone,Batticaloa,B,12.4
R0181,chain_outlet,Matara,B,5.1
R0182,chain_outlet,Monaragala,B,3.4
R0183,standalone,Trincomalee,B,2.5
R0184,standalone,Matale,B,1.7
R0185,standalone,Kalutara,C,1.1
R0186,standalone,Kegalle,C,0.5
R0187,standalone,Vavuniya,B,1.6
R0188,hospital_attached,Ratnapura,A,0.5
R0189,standalone,Colombo,B,1.3
R0190,standalone,Anuradhapura,A,16.5
R0191,chain_outlet,Kilinochchi,C,12.4
R0192,standalone,Colombo,B,12.0
R0193,hospital_attached,Hambantota,A,2.0
R0194,chain_outlet,Mullaitivu,B,14.9
R0195,hospital_attached,Colombo,A,5.7
R0196,hospital_attached,Kandy,A,0.5
R0197,standalone,Puttalam,C,1.3
R0198,chain_outlet,Gampaha,B,5.4
R0199,hospital_attached,Kandy,C,0.9
R0200,standalone,Kandy,C,0.6
